Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery 3V","PinHeader_1x02_P2.54mm_Vertical",73.846900,-107.825000,0.000000,top
"C1","22pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",89.200000,-107.800000,0.000000,top
"C2","22pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",89.200000,-111.500000,0.000000,top
"C3","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",108.000000,-116.750000,0.000000,top
"D1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",103.055000,-121.845000,0.000000,top
"J1","Serial","PinSocket_1x04_P2.54mm_Vertical",83.370000,-103.750000,90.000000,top
"J2","Digital Pins","PinSocket_1x09_P2.54mm_Vertical",78.850000,-127.650000,90.000000,top
"J3","I2C","PinSocket_1x04_P2.54mm_Vertical",98.800000,-103.725000,90.000000,top
"J4","ICSP","PinSocket_2x03_P2.54mm_Vertical",76.386900,-116.950000,0.000000,top
"R1","330Ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",107.800000,-121.800000,0.000000,top
"R2","10KOhm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",78.600000,-104.900000,180.000000,top
"U1","24LC1025","SOIC-8_5.23x5.23mm_P1.27mm",97.950000,-110.150000,0.000000,top
"U2","24LC1025","SOIC-8_5.23x5.23mm_P1.27mm",95.500000,-119.150000,0.000000,top
"U3","DS1337","SO-8_5.3x6.2mm_P1.27mm",108.250000,-110.700000,0.000000,top
"U4","ATMEGA328P-AU","TQFP-32_7x7mm",85.150000,-119.250000,0.000000,top
"Y1","Crystal 32MHz","Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm",102.850000,-117.300000,0.000000,top
"Y2","Crystal 16MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering",81.450000,-108.750000,0.000000,top
